INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
ETG25747	ETG314856	Ppara	Mdm2	PPAR	-	Reconstituted Complex	Gopinathan L (2009)	19103650	10116	10116
ETG25747	ETG314856	Ppara	Mdm2	PPAR	-	Affinity Capture-Western	Gopinathan L (2009)	19103650	10116	10116
RP23-142F14.2	ETG116470	Snap25	Stx1a	Bdr|GENA70|SNAP-25|SUP|sp	-	Two-hybrid	Hata Y (1995)	7768895	10090	10116
RP23-142F14.2	ETG81802	Snap25	Stx3	Bdr|GENA70|SNAP-25|SUP|sp	Stx3a	Two-hybrid	Hata Y (1995)	7768895	10090	10116
RP23-142F14.2	ETG81803	Snap25	Stx4	Bdr|GENA70|SNAP-25|SUP|sp	Stx4a	Two-hybrid	Hata Y (1995)	7768895	10090	10116
RP23-142F14.2	ETG25130	Snap25	Stx2	Bdr|GENA70|SNAP-25|SUP|sp	Epim	Two-hybrid	Hata Y (1995)	7768895	10090	10116
ETG25130	RP23-142F14.2	Stx2	Snap25	Epim	Bdr|GENA70|SNAP-25|SUP|sp	Two-hybrid	Hata Y (1995)	7768895	10116	10090
ETG116470	RP23-142F14.2	Stx1a	Snap25	-	Bdr|GENA70|SNAP-25|SUP|sp	Two-hybrid	Hata Y (1995)	7768895	10116	10090
ETG81802	RP23-142F14.2	Stx3	Snap25	Stx3a	Bdr|GENA70|SNAP-25|SUP|sp	Two-hybrid	Hata Y (1995)	7768895	10116	10090
ETG81803	RP23-142F14.2	Stx4	Snap25	Stx4a	Bdr|GENA70|SNAP-25|SUP|sp	Two-hybrid	Hata Y (1995)	7768895	10116	10090
ETG116470	ETG25558	Stx1a	Stxbp1	-	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Two-hybrid	Hata Y (1995)	7768895	10116	10116
ETG81802	ETG25558	Stx3	Stxbp1	Stx3a	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Two-hybrid	Hata Y (1995)	7768895	10116	10116
ETG25558	ETG116470	Stxbp1	Stx1a	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	-	Two-hybrid	Hata Y (1995)	7768895	10116	10116
ETG25558	ETG81802	Stxbp1	Stx3	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Stx3a	Two-hybrid	Hata Y (1995)	7768895	10116	10116
ETG25130	ETG25558	Stx2	Stxbp1	Epim	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Two-hybrid	Hata Y (1995)	7768895	10116	10116
ETG25558	ETG25130	Stxbp1	Stx2	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Epim	Two-hybrid	Hata Y (1995)	7768895	10116	10116
ETG81804	ETG116470	Stxbp2	Stx1a	Munc18b	-	Two-hybrid	Hata Y (1995)	7768895	10116	10116
ETG81804	ETG81802	Stxbp2	Stx3	Munc18b	Stx3a	Two-hybrid	Hata Y (1995)	7768895	10116	10116
ETG116470	ETG81804	Stx1a	Stxbp2	-	Munc18b	Reconstituted Complex	Hata Y (1995)	7768895	10116	10116
ETG81802	ETG81804	Stx3	Stxbp2	Stx3a	Munc18b	Reconstituted Complex	Hata Y (1995)	7768895	10116	10116
ETG116470	ETG25558	Stx1a	Stxbp1	-	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Reconstituted Complex	Hata Y (1995)	7768895	10116	10116
ETG81802	ETG25558	Stx3	Stxbp1	Stx3a	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Reconstituted Complex	Hata Y (1995)	7768895	10116	10116
ETG25130	ETG25558	Stx2	Stxbp1	Epim	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Reconstituted Complex	Hata Y (1995)	7768895	10116	10116
ETG25130	ETG81804	Stx2	Stxbp2	Epim	Munc18b	Reconstituted Complex	Hata Y (1995)	7768895	10116	10116
ETG81803	ETG25558	Stx4	Stxbp1	Stx4a	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Reconstituted Complex	Hata Y (1995)	7768895	10116	10116
ETG29244	ETG29244	Gch1	Gch1	Gch	Gch	Reconstituted Complex	Yoneyama T (1998)	9685352	10116	10116
ETG171128	ETG29244	Gchfr	Gch1	-	Gch	Biochemical Activity	Yoneyama T (1998)	9685352	10116	10116
ETG12488	ETG29647	Cd2ap	Cask	AL024079|C78928|METS-1|Mets1	-	Affinity Capture-Western	Lehtonen S (2004)	15331416	10090	10116
ETG12488	ETG64563	Cd2ap	Nphs1	AL024079|C78928|METS-1|Mets1	-	Reconstituted Complex	Lehtonen S (2004)	15331416	10090	10116
ETG316258	ETG64563	Cd2ap	Nphs1	CMS	-	Affinity Capture-Western	Lehtonen S (2004)	15331416	10116	10116
ETG64563	ETG29647	Nphs1	Cask	-	-	Affinity Capture-MS	Lehtonen S (2004)	15331416	10116	10116
ETG64563	ETG29647	Nphs1	Cask	-	-	Reconstituted Complex	Lehtonen S (2004)	15331416	10116	10116
ETG64563	ETG316258	Nphs1	Cd2ap	-	CMS	Reconstituted Complex	Lehtonen S (2004)	15331416	10116	10116
ETG64563	ETG311163	Nphs1	Ctnnd1	-	Catns	Reconstituted Complex	Lehtonen S (2004)	15331416	10116	10116
ETG64563	ETG483489	Nphs1	CTNND1	-	-	Affinity Capture-Western	Lehtonen S (2004)	15331416	10116	9615
ETG64563	ETG483489	Nphs1	CTNND1	-	-	Reconstituted Complex	Lehtonen S (2004)	15331416	10116	9615
ETG64563	ETG474928	Nphs1	CD2AP	-	-	Reconstituted Complex	Lehtonen S (2004)	15331416	10116	9615
ETG64563	ETG474928	Nphs1	CD2AP	-	-	Co-fractionation	Lehtonen S (2004)	15331416	10116	9615
ETG64563	ETG403752	Nphs1	TJP1	-	ZO-1|ZO1	Reconstituted Complex	Lehtonen S (2004)	15331416	10116	9615
ETG64563	ETG611010	Nphs1	CDH3	-	CDH15	Affinity Capture-Western	Lehtonen S (2004)	15331416	10116	9615
ETG474928	ETG64563	CD2AP	Nphs1	-	-	Affinity Capture-Western	Lehtonen S (2004)	15331416	9615	10116
ETG4908	ETG24596	NTF3	Ngfr	HDNF|NGF-2|NGF2|NT-3|NT3	LNGFR|RNNGFRR|Tnfrsf16|p75|p75NTR	Reconstituted Complex	Gong Y (2008)	18596692	9606	10116
ETG4908	ETG24596	NTF3	Ngfr	HDNF|NGF-2|NGF2|NT-3|NT3	LNGFR|RNNGFRR|Tnfrsf16|p75|p75NTR	Co-crystal Structure	Gong Y (2008)	18596692	9606	10116
ETG4803	ETG24596	NGF	Ngfr	Beta-NGF|HSAN5|NGFB	LNGFR|RNNGFRR|Tnfrsf16|p75|p75NTR	Reconstituted Complex	Gong Y (2008)	18596692	9606	10116
ETG18049	ETG24596	Ngf	Ngfr	Ngfb	LNGFR|RNNGFRR|Tnfrsf16|p75|p75NTR	Reconstituted Complex	Gong Y (2008)	18596692	10090	10116
ETG314856	ETG301442	Mdm2	Sumo1	-	-	Affinity Capture-Western	Nelson DM (2006)	17000718	10116	10116
ETG81649	ETG315139	Mapk14	Tab1	CRK1|CSBP|CSPB1|Csbp1|Csbp2|Exip|Hog|Mxi2|Prkm14|Prkm15|RK|Sapk2A|p38|p38Hog|p38alpha	Map3k7ip1	Affinity Capture-Western	Du CS (2010)	21607062	10116	10116
ETG315139	ETG81649	Tab1	Mapk14	Map3k7ip1	CRK1|CSBP|CSPB1|Csbp1|Csbp2|Exip|Hog|Mxi2|Prkm14|Prkm15|RK|Sapk2A|p38|p38Hog|p38alpha	Affinity Capture-Western	Du CS (2010)	21607062	10116	10116
ETG116470	ETG25558	Stx1a	Stxbp1	-	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Reconstituted Complex	Pevsner J (1996)	8996080	10116	10116
ETG81802	ETG25558	Stx3	Stxbp1	Stx3a	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Reconstituted Complex	Pevsner J (1996)	8996080	10116	10116
ETG25130	ETG25558	Stx2	Stxbp1	Epim	ANC18HA|Munc18-1|NSEC1A|Sec1|Unc18-1|n-sec1|nSec1|rbSec1|rbSec1A|rbSec1B	Reconstituted Complex	Pevsner J (1996)	8996080	10116	10116
ETG24511	ETG24907	Itgb1	Dmd	-	DNADMD1	Affinity Capture-Western	Cerna J (2006)	16935300	10116	10116
ETG24511	ETG313494	Itgb1	Tln1	-	Tln	Affinity Capture-Western	Cerna J (2006)	16935300	10116	10116
ETG24511	ETG360820	Itgb1	Pxn	-	-	Affinity Capture-Western	Cerna J (2006)	16935300	10116	10116
ETG24511	ETG25614	Itgb1	Ptk2	-	FAK|FRNK|p125FAK	Affinity Capture-Western	Cerna J (2006)	16935300	10116	10116
ETG24907	ETG24511	Dmd	Itgb1	DNADMD1	-	Affinity Capture-Western	Cerna J (2006)	16935300	10116	10116
ETG24907	ETG313494	Dmd	Tln1	DNADMD1	Tln	Affinity Capture-Western	Cerna J (2006)	16935300	10116	10116
ETG24907	ETG114489	Dmd	Dag1	DNADMD1	-	Affinity Capture-Western	Cerna J (2006)	16935300	10116	10116
ETG24907	ETG25614	Dmd	Ptk2	DNADMD1	FAK|FRNK|p125FAK	Affinity Capture-Western	Cerna J (2006)	16935300	10116	10116
GS1-19O24.1	ETG24511	DMD	Itgb1	BMD|CMD3B|DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272|MRX85	-	Reconstituted Complex	Cerna J (2006)	16935300	9606	10116
GS1-19O24.1	ETG25614	DMD	Ptk2	BMD|CMD3B|DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272|MRX85	FAK|FRNK|p125FAK	Reconstituted Complex	Cerna J (2006)	16935300	9606	10116
GS1-19O24.1	ETG362242	DMD	Snta1	BMD|CMD3B|DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272|MRX85	-	Reconstituted Complex	Cerna J (2006)	16935300	9606	10116
ETG24907	ETG81822	Dmd	Actb	DNADMD1	Actx	Affinity Capture-Western	Cerna J (2006)	16935300	10116	10116
ETG24511	ETG81822	Itgb1	Actb	-	Actx	Affinity Capture-Western	Cerna J (2006)	16935300	10116	10116
ETG29476	ETG54250	Glg1	Fgf2	MG-160|Selel	Fgf-2|bFGF	Far Western	Gonatas JO (1995)	7768993	10116	10116
ETG17181	ETG29220	Matn2	Thbs4	Crtm2|matrilin-2	-	Reconstituted Complex	Narouz-Ott L (2000)	10956668	10090	10116
BOS_2065	ETG29220	FN1	Thbs4	FN	-	Reconstituted Complex	Narouz-Ott L (2000)	10956668	9913	10116
ETG81646	ETG50522	Creb1	Ubc	Creb	-	Affinity Capture-Western	Garat CV (2006)	16782881	10116	10116
ETG680127	ETG170538	Tirap	Prkcd	-	Pkcd	Reconstituted Complex	Kubo-Murai M (2007)	17161867	10116	10116
ETG680127	ETG81749	Tirap	Prkch	-	-	Reconstituted Complex	Kubo-Murai M (2007)	17161867	10116	10116
ETG170538	ETG680127	Prkcd	Tirap	Pkcd	-	Affinity Capture-Western	Kubo-Murai M (2007)	17161867	10116	10116
ETG6753	ETG29365	SSTR3	Mpdz	SS-3-R|SS3-R|SS3R|SSR-28	-	Affinity Capture-Western	Liew CW (2009)	19071123	9606	10116
ETG171044	ETG29365	Sstr3	Mpdz	SSTR|Smstr28	-	Affinity Capture-Western	Liew CW (2009)	19071123	10116	10116
ETG25388	ETG24176	Arrb2	Adrb2	BARRES	-	Affinity Capture-Western	Ogasawara J (2006)	16368719	10116	10116
ETG24176	ETG50522	Adrb2	Ubc	-	-	Affinity Capture-Western	Ogasawara J (2006)	16368719	10116	10116
ETG114856	ETG50522	Dusp1	Ubc	3CH134|CL100|MKP-1|Mkp1|Ptpn16	-	Affinity Capture-Western	Lornejad-Schafer M (2005)	16301819	10116	10116
ETG50522	ETG114856	Ubc	Dusp1	-	3CH134|CL100|MKP-1|Mkp1|Ptpn16	Affinity Capture-Western	Lornejad-Schafer M (2005)	16301819	10116	10116
ETG311245	ETG308362	Traf6	Zfp110	-	Nrif1	Affinity Capture-Western	Geetha T (2005)	16252010	10116	10116
ETG308362	ETG311245	Zfp110	Traf6	Nrif1	-	Affinity Capture-Western	Geetha T (2005)	16252010	10116	10116
ETG308362	ETG113894	Zfp110	Sqstm1	Nrif1	Osi|ZIP|ZIP3	Affinity Capture-Western	Geetha T (2005)	16252010	10116	10116
ETG113894	ETG311245	Sqstm1	Traf6	Osi|ZIP|ZIP3	-	Affinity Capture-Western	Geetha T (2005)	16252010	10116	10116
ETG113894	ETG308362	Sqstm1	Zfp110	Osi|ZIP|ZIP3	Nrif1	Affinity Capture-Western	Geetha T (2005)	16252010	10116	10116
ETG311245	ETG113894	Traf6	Sqstm1	-	Osi|ZIP|ZIP3	Affinity Capture-Western	Geetha T (2005)	16252010	10116	10116
ETG59109	ETG24596	Ntrk1	Ngfr	Trk	LNGFR|RNNGFRR|Tnfrsf16|p75|p75NTR	Affinity Capture-Western	Geetha T (2005)	16246731	10116	10116
ETG59109	ETG311245	Ntrk1	Traf6	Trk	-	Affinity Capture-Western	Geetha T (2005)	16246731	10116	10116
ETG59109	ETG363836	Ntrk1	Ube2l3	Trk	-	Affinity Capture-Western	Geetha T (2005)	16246731	10116	10116
ETG59109	ETG113894	Ntrk1	Sqstm1	Trk	Osi|ZIP|ZIP3	Affinity Capture-Western	Geetha T (2005)	16246731	10116	10116
ETG303285	ETG363836	Traf4	Ube2l3	-	-	Affinity Capture-Western	Geetha T (2005)	16246731	10116	10116
ETG303285	ETG113894	Traf4	Sqstm1	-	Osi|ZIP|ZIP3	Affinity Capture-Western	Geetha T (2005)	16246731	10116	10116
ETG59109	ETG85385	Ntrk1	Shc1	Trk	P66shc	Affinity Capture-Western	Geetha T (2005)	16246731	10116	10116
ETG16924	ETG24337	Lnx1	Erbb2	Lnx	-	Affinity Capture-Western	Young P (2005)	16122940	10090	10116
ETG81518	ETG50522	Mef2d	Ubc	-	-	Affinity Capture-Western	Butts BD (2005)	16112871	10116	10116
ETG360471	ETG7874	Usp7	USP7	Hausp	HAUSP|TEF1	Affinity Capture-Western	Lee HJ (2005)	16111684	10116	9606
ETG25262	ETG50522	Itpr1	Ubc	I145TR|IP3R1|InsP3R|InsP3R1|P400	-	Affinity Capture-Western	Alzayady KJ (2005)	16103111	10116	10116
ETG25262	ETG116643	Itpr1	Vcp	I145TR|IP3R1|InsP3R|InsP3R1|P400	-	Affinity Capture-Western	Alzayady KJ (2005)	16103111	10116	10116
ETG25262	ETG84478	Itpr1	Ufd1l	I145TR|IP3R1|InsP3R|InsP3R1|P400	-	Affinity Capture-Western	Alzayady KJ (2005)	16103111	10116	10116
ETG25262	ETG315608	Itpr1	Ube4a	I145TR|IP3R1|InsP3R|InsP3R1|P400	Ab2-232	Affinity Capture-Western	Alzayady KJ (2005)	16103111	10116	10116
ETG25122	ETG7316	Scnn1a	UBC	-	HMG20	Affinity Capture-Western	Bhalla V (2005)	16099816	10116	9606
ETG85273	ETG24408	Fbxo2	Grin1	-	GluN1|NMDAR1|NR1	Affinity Capture-Western	Kato A (2005)	15809437	10116	10116
ETG24521	ETG50522	Kcnj1	Ubc	Kcnj|ROMK1	-	Affinity Capture-Western	Lin DH (2005)	15767585	10116	10116
ETG25489	ETG25576	Nedd4	Ywhah	Nedd4a	14-3-3e	Affinity Capture-Western	Ichimura T (2005)	15677482	10116	10116
ETG25489	ETG56011	Nedd4	Ywhab	Nedd4a	-	Affinity Capture-Western	Ichimura T (2005)	15677482	10116	10116
ETG25489	ETG56010	Nedd4	Ywhag	Nedd4a	14-3-3G	Affinity Capture-Western	Ichimura T (2005)	15677482	10116	10116
ETG25489	ETG29753	Nedd4	Ywhae	Nedd4a	14-3-3e	Affinity Capture-Western	Ichimura T (2005)	15677482	10116	10116
ETG25489	ETG25577	Nedd4	Ywhaq	Nedd4a	14-3-3t	Affinity Capture-Western	Ichimura T (2005)	15677482	10116	10116
ETG81922	ETG50522	Sh3gl1	Ubc	SH3P8	-	Affinity Capture-Western	Cestra G (2005)	15659545	10116	10116
ETG313024	ETG50522	Wasf2	Ubc	-	-	Affinity Capture-Western	Cestra G (2005)	15659545	10116	10116
ETG114901	ETG81922	Sorbs2	Sh3gl1	Argbp2	SH3P8	Reconstituted Complex	Cestra G (2005)	15659545	10116	10116
ETG114901	ETG85238	Sorbs2	Synj1	Argbp2	-	Reconstituted Complex	Cestra G (2005)	15659545	10116	10116
ETG114901	ETG140694	Sorbs2	Dnm1	Argbp2	Dnm	Reconstituted Complex	Cestra G (2005)	15659545	10116	10116
ETG114901	ETG25751	Sorbs2	Dnm2	Argbp2	DYIIAAB	Reconstituted Complex	Cestra G (2005)	15659545	10116	10116
ETG83497	ETG311567	Ocln	Itch	-	-	Affinity Capture-Western	Lui WY (2005)	15605377	10116	10116
ETG83497	ETG50522	Ocln	Ubc	-	-	Affinity Capture-Western	Lui WY (2005)	15605377	10116	10116
ETG24766	ETG17999	Scn2a	Nedd4	NachII|Nav1.2|RII/RIIA|RNSCPIIR|SCN|Scn2a1|Scn2a2|ScpII	AA959633|AL023035|AU019897|E430025J12Rik|Nedd4-1|Nedd4a|mKIAA0093	Reconstituted Complex	Rougier JS (2005)	15548568	10116	10090
ETG192269	ETG24842	Sub1	Tp53	Rpo2tc1	Trp53|p53	Affinity Capture-Western	Mayelzadeh F (2007)	17130840	10116	10116
ETG24842	ETG192269	Tp53	Sub1	Trp53|p53	Rpo2tc1	Affinity Capture-Western	Mayelzadeh F (2007)	17130840	10116	10116
ETG25467	ETG50522	Irs1	Ubc	IRS1IRM	-	Affinity Capture-Western	Usui I (2004)	15456867	10116	10116
ETG25467	ETG314856	Irs1	Mdm2	IRS1IRM	-	Affinity Capture-Western	Usui I (2004)	15456867	10116	10116
ETG50522	ETG24329	Ubc	Egfr	-	ERBB1|ErbB-1|Errp	Affinity Capture-Western	Skarpen E (2005)	15389569	10116	10116
ETG81736	ETG691496	Nfkb1	Hist3h3	EBP-1|NF-kB	-	Affinity Capture-Western	Zhong Q (2011)	21357467	10116	10116
ETG81736	ETG64627	Nfkb1	Hist1h4b	EBP-1|NF-kB	H1ft|Hist4|Hist4h4	Affinity Capture-Western	Zhong Q (2011)	21357467	10116	10116
ETG24392	ETG50522	Gja1	Ubc	Cx43	-	Affinity Capture-Western	Leithe E (2004)	15371442	10116	10116
ETG24329	ETG50522	Egfr	Ubc	ERBB1|ErbB-1|Errp	-	Affinity Capture-Western	Leithe E (2004)	15371442	10116	10116
ETG84353	ETG50522	Ctnnb1	Ubc	Catnb	-	Affinity Capture-Western	Leithe E (2004)	15371442	10116	10116
ETG50522	ETG4609	Ubc	MYC	-	MRTL|MYCC|bHLHe39|c-Myc	Affinity Capture-Western	Yeh E (2004)	15048125	10116	9606
ETG316258	ETG309696	Cd2ap	Bcr	CMS	-	Affinity Capture-Western	Kobayashi S (2004)	15001553	10116	10116
ETG500985	ETG54251	Cbl	Flt1	RGD1561386	VEGFR-1	Affinity Capture-Western	Kobayashi S (2004)	15001553	10116	10116
ETG24392	ETG50522	Gja1	Ubc	Cx43	-	Affinity Capture-Western	Leithe E (2004)	14970263	10116	10116
ETG117277	ETG50522	Epn1	Ubc	-	-	Affinity Capture-Western	Chen H (2003)	14657369	10116	10116
ETG313474	ETG50522	Eps15	Ubc	RGD1307641	-	Affinity Capture-Western	Chen H (2003)	14657369	10116	10116
ETG363445	ETG117277	Usp9x	Epn1	RGD1560056	-	Reconstituted Complex	Chen H (2003)	14657369	10116	10116
ETG29495	ETG50522	Dlg4	Ubc	Dlgh4|PSD95|Sap90	-	Affinity Capture-Western	Colledge M (2003)	14642282	10116	10116
ETG29495	ETG314856	Dlg4	Mdm2	Dlgh4|PSD95|Sap90	-	Affinity Capture-Western	Colledge M (2003)	14642282	10116	10116
ETG314856	ETG29495	Mdm2	Dlg4	-	Dlgh4|PSD95|Sap90	Biochemical Activity	Colledge M (2003)	14642282	10116	10116
ETG24680	ETG50522	Prkca	Ubc	Pkca	-	Affinity Capture-Western	Leontieva OV (2004)	14638691	10116	10116
ETG50522	ETG24680	Ubc	Prkca	-	Pkca	Affinity Capture-Western	Leontieva OV (2004)	14638691	10116	10116
ETG81515	ETG50522	Lyn	Ubc	p53Lyn|p56Lyn	-	Affinity Capture-Western	Kyo S (2003)	14531861	10116	10116
ETG25150	ETG50522	Fyn	Ubc	-	-	Affinity Capture-Western	Kyo S (2003)	14531861	10116	10116
ETG81515	ETG500985	Lyn	Cbl	p53Lyn|p56Lyn	RGD1561386	Affinity Capture-Western	Kyo S (2003)	14531861	10116	10116
ETG81515	ETG500985	Lyn	Cbl	p53Lyn|p56Lyn	RGD1561386	Reconstituted Complex	Kyo S (2003)	14531861	10116	10116
ETG50522	ETG63879	Ubc	Xiap	-	Api3|Birc4|riap3	Affinity Capture-Western	Lotocki G (2003)	14526223	10116	10116
ETG252971	ETG24514	Socs1	Jak2	Cish1|Socs-1	-	Affinity Capture-Western	Ali S (2003)	14522994	10116	10116
ETG29357	ETG50522	Smad2	Ubc	Madh2	-	Reconstituted Complex	Togawa A (2003)	14507671	10116	10116
ETG63868	ETG24887	Hspd1	Bax	Hsp60|Hspd1-30p	-	Affinity Capture-Western	Shan YX (2003)	12967636	10116	10116
ETG63868	ETG24888	Hspd1	Bcl2l1	Hsp60|Hspd1-30p	Bcl-xl|Bcl2l|Bclx|bcl-X	Affinity Capture-Western	Shan YX (2003)	12967636	10116	10116
ETG24887	ETG63868	Bax	Hspd1	-	Hsp60|Hspd1-30p	Affinity Capture-Western	Shan YX (2003)	12967636	10116	10116
ETG50522	ETG24888	Ubc	Bcl2l1	-	Bcl-xl|Bcl2l|Bclx|bcl-X	Affinity Capture-Western	Shan YX (2003)	12967636	10116	10116
ETG24874	ETG29452	Vhl	Epas1	Vhlh	HLF|Hif2a	Affinity Capture-Western	Schnell PO (2003)	12675925	10116	10116
ETG50522	ETG29452	Ubc	Epas1	-	HLF|Hif2a	Affinity Capture-Western	Schnell PO (2003)	12675925	10116	10116
ETG170509	ETG50522	Cyp3a62	Ubc	CYP3|Cyp3a	-	Affinity Capture-Western	Zangar RC (2003)	12626652	10116	10116
ETG50522	ETG25387	Ubc	Arrb1	-	BARRES	Affinity Capture-Western	Dalle S (2002)	12167719	10116	10116
ETG81515	ETG50522	Lyn	Ubc	p53Lyn|p56Lyn	-	Two-hybrid	Bhattacharyya SP (2001)	11137137	10116	10116
ETG81515	ETG50522	Lyn	Ubc	p53Lyn|p56Lyn	-	Reconstituted Complex	Bhattacharyya SP (2001)	11137137	10116	10116
ETG50522	ETG24860	Ubc	Ucp1	-	Ucp|Ucpa|Uncp	Affinity Capture-Western	Clarke KJ (2012)	22531154	10116	10116
ETG24860	ETG50522	Ucp1	Ubc	Ucp|Ucpa|Uncp	-	Affinity Capture-Western	Clarke KJ (2012)	22531154	10116	10116
ETG65204	ETG29437	Cnn1	Acta1	-	-	FRET	Dykes AC (2007)	17487264	10116	10116
ETG65204	ETG24680	Cnn1	Prkca	-	Pkca	FRET	Dykes AC (2007)	17487264	10116	10116
ETG291609	ETG25489	Ndfip1	Nedd4	-	Nedd4a	Affinity Capture-Western	Lackovic J (2012)	22417925	10116	10116
ETG24954	ETG396838	Insr	CALM3	-	-	Biochemical Activity	Sacks DB (1992)	1520270	10116	9823
ETG362817	ETG24525	Cdk2	Kras	-	Kras2|c-Ki-ras|p21	Affinity Capture-Western	Aikawa T (2001)	11384971	10116	10116
ETG94201	ETG24525	Cdk4	Kras	-	Kras2|c-Ki-ras|p21	Affinity Capture-Western	Aikawa T (2001)	11384971	10116	10116
ETG25729	ETG24525	Ccne1	Kras	CYCLE|Ccne	Kras2|c-Ki-ras|p21	Affinity Capture-Western	Aikawa T (2001)	11384971	10116	10116
ETG64033	ETG24525	Ccnd2	Kras	-	Kras2|c-Ki-ras|p21	Affinity Capture-Western	Aikawa T (2001)	11384971	10116	10116
ETG94201	ETG64033	Cdk4	Ccnd2	-	-	Affinity Capture-Western	Aikawa T (2001)	11384971	10116	10116
ETG362817	ETG64033	Cdk2	Ccnd2	-	-	Affinity Capture-Western	Aikawa T (2001)	11384971	10116	10116
ETG25729	ETG362817	Ccne1	Cdk2	CYCLE|Ccne	-	Affinity Capture-Western	Aikawa T (2001)	11384971	10116	10116
ETG360643	ETG83502	Cdc27	Cdh1	-	-	Affinity Capture-Western	Sorensen CS (2001)	11340163	10116	10116
ETG83502	ETG295052	Cdh1	Ccna1	-	-	Affinity Capture-Western	Sorensen CS (2001)	11340163	10116	10116
ETG83502	ETG362817	Cdh1	Cdk2	-	-	Affinity Capture-Western	Sorensen CS (2001)	11340163	10116	10116
ETG25262	ETG290823	Itpr1	Erlin2	I145TR|IP3R1|InsP3R|InsP3R1|P400	RGD1309010|Spfh2	Affinity Capture-Western	Pearce MM (2007)	17502376	10116	10116
ETG24231	ETG287670	C2	Psmd3	-	-	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG117263	C2	Psmc1	-	s4	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG29677	C2	Psmc3	-	-	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG117262	C2	Psmc4	-	Tbp7	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG25581	C2	Psmc2	-	MSS1	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG29550	C2	S8	-	-	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG307821	C2	Psmd7	-	-	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG117512	C2	C9	-	-	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG29670	C2	Psma3	-	Psma3l	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG24237	C2	C6	-	-	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG29673	C2	Psma6	-	-	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG29672	C2	Psma5	-	-	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG24232	C2	C3	-	-	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG29666	C2	Psmb6	-	Psmb6l	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	ETG117517	C2	C7	-	-	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG24231	rCG_26455	C2	Psmd14	-	-	Affinity Capture-MS	Mason GG (1998)	9688553	10116	10116
ETG2874	ETG117274	GPS2	Nr0b2	AMF-1	Shp	Reconstituted Complex	Sanyal S (2007)	17895379	9606	10116
